ⲁϥϫⲟⲟⲥ	ⲁ|ϥ|ϫⲟⲟ|ⲥ
ⲁⲣⲓⲁⲡⲁⲧⲟⲟⲧⲕ	ⲁⲣⲓ|ⲁ|ⲡⲁ|ⲧⲟⲟⲧ|ⲕ
ⲉⲧⲣⲉϥⲥⲙⲟⲩ	ⲉ|ⲧⲣⲉ|ϥ|ⲥⲙⲟⲩ
ϫⲉⲉⲣⲉⲡⲉⲥⲙⲟⲩ	ϫⲉ|ⲉⲣⲉ|ⲡⲉ|ⲥⲙⲟⲩ
ⲉⲧⲙⲟⲟϣⲉ	ⲉⲧ|ⲙⲟⲟϣⲉ
ⲉⲧⲃⲉⲧⲡⲓⲥⲧⲓⲥ	ⲉⲧⲃⲉ|ⲧ|ⲡⲓⲥⲧⲓⲥ
ⲙⲡⲣⲕⲁⲁⲩ	ⲙⲡⲣ|ⲕⲁⲁ|ⲩ
ⲉⲃⲟⲗⲕ	ⲉ|ⲃⲟⲗ|ⲕ
ⲉⲩⲛⲟⲩⲧⲉ	ⲉ|ⲩ|ⲛⲟⲩⲧⲉ
ⲙⲛⲡⲉϥⲙⲟⲛⲟⲅⲉⲛⲏⲥ	ⲙⲛ|ⲡⲉϥ|ⲙⲟⲛⲟⲅⲉⲛⲏⲥ
ⲉϥϩⲛⲟⲩⲛⲟⲩⲧⲉ	ⲉ|ϥ|ϩⲛ|ⲟⲩ|ⲛⲟⲩⲧⲉ
ⲟⲩϫⲟⲉⲓⲥ	ⲟⲩ|ϫⲟⲉⲓⲥ
ϩⲛⲟⲩϫⲟⲉⲓⲥ	ϩⲛ|ⲟⲩ|ϫⲟⲉⲓⲥ
ⲟⲩϫⲡⲟ	ⲟⲩ|ϫⲡⲟ
ⲛⲟⲩⲧⲁⲙⲓⲟ	ⲛ|ⲟⲩ|ⲧⲁⲙⲓⲟ
ⲁⲩϫⲡⲟϥ	ⲁ|ⲩ|ϫⲡⲟ|ϥ
ⲉⲁⲩϫⲡⲟϥ	ⲉ|ⲁ|ⲩ|ϫⲡⲟ|ϥ
ϩⲓⲧⲛⲧⲡⲁⲣⲑⲉⲛⲟⲥ	ϩⲓⲧⲛ|ⲧ|ⲡⲁⲣⲑⲉⲛⲟⲥ
ⲧⲣⲉϥϫⲡⲉⲡⲛⲟⲩⲧⲉ	ⲧ|ⲣⲉϥϫⲡⲉⲡⲛⲟⲩⲧⲉ
ⲁϥϫⲓⲥⲱⲙⲁ	ⲁ|ϥ|ϫⲓⲥⲱⲙⲁ
ϣⲁⲛⲧⲉⲡⲕⲁϩ	ϣⲁⲛⲧⲉ|ⲡ|ⲕⲁϩ
ⲉϣⲧⲱⲟⲩⲛ	ⲉϣ|ⲧⲱⲟⲩⲛ
ⲛϩⲉⲛⲣⲉϥⲧⲁϣⲉⲟⲉⲓϣ	ⲛ|ϩⲉⲛ|ⲣⲉϥⲧⲁϣⲉⲟⲉⲓϣ
ⲛⲉϥⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ⲛⲉϥ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲁⲩⲕⲟⲛⲥϥ	ⲁ|ⲩ|ⲕⲟⲛⲥ|ϥ
ϩⲛⲟⲩⲗⲟⲅⲭⲏ	ϩⲛ|ⲟⲩ|ⲗⲟⲅⲭⲏ
ⲛϭⲓⲡⲉⲛⲟⲩϫⲁⲓ	ⲛϭⲓ|ⲡⲉⲛ|ⲟⲩϫⲁⲓ
ⲟⲩⲙⲟⲟⲩ	ⲟⲩ|ⲙⲟⲟⲩ
ⲉⲕⲧⲙϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ	ⲉ|ⲕ|ⲧⲙ|ϫⲓⲃⲁⲡⲧⲓⲥⲙⲁ
ⲙⲉⲕϫⲓ	ⲙⲉ|ⲕ|ϫⲓ
ⲡⲉⲥⲛⲟϥ	ⲡⲉ|ⲥⲛⲟϥ
ⲉⲧⲉⲓⲡⲓⲥⲧⲓⲥ	ⲉ|ⲧⲉⲓ|ⲡⲓⲥⲧⲓⲥ
ⲛϥⲧⲟⲩϫⲟⲕ	ⲛ|ϥ|ⲧⲟⲩϫⲟ|ⲕ
ⲛϥⲛⲁϩⲙⲕ	ⲛ|ϥ|ⲛⲁϩⲙ|ⲕ
ⲉⲡⲁⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	ⲉ|ⲡⲁ|ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
ⲉⲛⲧⲁⲓⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ	ⲉⲛⲧ|ⲁ|ⲓ|ⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ
ⲉⲧⲉⲧⲛⲁϩⲉⲣⲁⲧⲧⲏⲩⲧⲛ	ⲉ|ⲧⲉⲧⲛ|ⲁϩⲉ|ⲣⲁⲧ|ⲧⲏⲩⲧⲛ
ⲉⲧⲉⲧⲛⲁⲟⲩϫⲁⲓ	ⲉ|ⲧⲉⲧ|ⲛⲁ|ⲟⲩϫⲁⲓ
ⲉϣϫⲉⲧⲉⲧⲛⲁⲙⲁϩⲧⲉ	ⲉϣϫⲉ|ⲧⲉⲧⲛ|ⲁⲙⲁϩⲧⲉ
ⲉϣϫⲉⲉⲓⲕⲏ	ⲉϣϫⲉ|ⲉⲓⲕⲏ
ⲁⲧⲉⲧⲛⲡⲓⲥⲧⲉⲩⲉ	ⲁ|ⲧⲉⲧⲛ|ⲡⲓⲥⲧⲉⲩⲉ
ⲙⲡⲉⲛⲧⲁⲓϫⲓⲧϥ	ⲙ|ⲡ|ⲉⲛⲧ|ⲁ|ⲓ|ϫⲓⲧ|ϥ
ϫⲉⲁⲩⲧⲟⲙⲥϥ	ϫⲉ|ⲁ|ⲩ|ⲧⲟⲙⲥ|ϥ
ϫⲉⲁϥⲧⲱⲟⲩⲛ	ϫⲉ|ⲁ|ϥ|ⲧⲱⲟⲩⲛ
ϫⲉⲁϥⲟⲩⲱⲛϩ	ϫⲉ|ⲁ|ϥ|ⲟⲩⲱⲛϩ
ⲛⲕⲏⲫⲁⲥ	ⲛ|ⲕⲏⲫⲁⲥ
ⲁⲩⲛⲕⲟⲧⲕ	ⲁ|ⲩ|ⲛⲕⲟⲧⲕ
ⲛⲟⲩϩⲟⲩϩⲉ	ⲛ|ⲟⲩ|ϩⲟⲩϩⲉ
ⲡⲉⲗⲁⲭⲓⲥⲧⲟⲥ	ⲡ|ⲉⲗⲁⲭⲓⲥⲧⲟⲥ
ⲉⲛϯⲙⲡϣⲁ	ⲉ|ⲛ|ϯ|ⲙⲡϣⲁ
ⲙⲙⲟⲩⲧⲉ	ⲙ|ⲙⲟⲩⲧⲉ
ϫⲉⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ϫⲉ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ϫⲉⲁⲓⲇⲓⲱⲕⲉ	ϫⲉ|ⲁ|ⲓ|ⲇⲓⲱⲕⲉ
ⲛⲥⲁⲧⲉⲕⲕⲗⲏⲥⲓⲁ	ⲛⲥⲁ|ⲧ|ⲉⲕⲕⲗⲏⲥⲓⲁ
ⲉϯⲟ	ⲉ|ϯ|ⲟ
ϩⲙⲡⲉϩⲙⲟⲧ	ϩⲙ|ⲡⲉ|ϩⲙⲟⲧ
ⲧⲉϥⲭⲁⲣⲓⲥ	ⲧⲉϥ|ⲭⲁⲣⲓⲥ
ⲉⲛⲧⲁⲥⲡⲱϩ	ⲉⲛⲧ|ⲁ|ⲥ|ⲡⲱϩ
ⲙⲡⲥϣⲱⲡⲉ	ⲙⲡ|ⲥ|ϣⲱⲡⲉ
ⲉⲥϣⲟⲩⲉⲓⲧ	ⲉ|ⲥ|ϣⲟⲩⲉⲓⲧ
ⲁⲓϣⲡϩⲓⲥⲉ	ⲁ|ⲓ|ϣⲡϩⲓⲥⲉ
ⲉⲧⲛⲧⲁϣⲉⲟⲉⲓϣ	ⲉⲧ|ⲛ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲉⲛⲧⲁⲧⲉⲧⲛⲡⲓⲥⲧⲉⲩⲉ	ⲉⲛⲧ|ⲁ|ⲧⲉⲧⲛ|ⲡⲓⲥⲧⲉⲩⲉ
ⲉϣϫⲉⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲉϣϫⲉ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲥⲉⲧⲁϣⲉⲟⲉⲓϣ	ⲥⲉ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲟⲩⲛϩⲟⲓⲛⲉ	ⲟⲩⲛ|ϩⲟⲓⲛⲉ
ϫⲉⲛⲉⲧⲙⲟⲟⲩⲧ	ϫⲉ|ⲛ|ⲉⲧ|ⲙⲟⲟⲩⲧ
ⲉϣϫⲉⲛⲉⲧⲙⲟⲟⲩⲧ	ⲉϣϫⲉ|ⲛ|ⲉⲧ|ⲙⲟⲟⲩⲧ
ⲙⲡⲉⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲙⲡⲉ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲉϣϫⲉⲙⲡⲉⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲉϣϫⲉ|ⲙⲡⲉ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲡⲉⲛⲧⲁϣⲉⲟⲉⲓϣ	ⲡⲉⲛ|ⲧⲁϣⲉⲟⲉⲓϣ
ⲥϣⲟⲩⲉⲓⲧ	ⲥ|ϣⲟⲩⲉⲓⲧ
ⲛϭⲓⲧⲉⲛⲡⲓⲥⲧⲓⲥ	ⲛϭⲓ|ⲧⲉⲛ|ⲡⲓⲥⲧⲓⲥ
ϫⲉⲁⲛⲣⲙⲛⲧⲣⲉ	ϫⲉ|ⲁ|ⲛ|ⲣⲙⲛⲧⲣⲉ
ϫⲉⲁϥⲧⲟⲩⲛⲉⲥⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ϫⲉ|ⲁ|ϥ|ⲧⲟⲩⲛⲉⲥ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲉⲧⲉⲙⲡϥⲧⲟⲩⲛⲟⲥϥ	ⲉⲧⲉ|ⲙⲡ|ϥ|ⲧⲟⲩⲛⲟⲥ|ϥ
ⲛϭⲓⲧⲉⲧⲛⲡⲓⲥⲧⲓⲥ	ⲛϭⲓ|ⲧⲉⲧⲛ|ⲡⲓⲥⲧⲓⲥ
ⲧⲉⲧⲛϣⲟⲟⲡ	ⲧⲉⲧⲛ|ϣⲟⲟⲡ
ϩⲛⲛⲉⲧⲛⲛⲟⲃⲉ	ϩⲛ|ⲛⲉⲧⲛ|ⲛⲟⲃⲉ
ⲁⲛⲕⲟⲟⲩⲉ	ⲁ|ⲛ|ⲕⲟⲟⲩⲉ
ⲉⲛⲧⲁⲩⲛⲕⲟⲧⲕ	ⲉⲛⲧ|ⲁ|ⲩ|ⲛⲕⲟⲧⲕ
ⲉϣϫⲉϩⲣⲁⲓ	ⲉϣϫⲉ|ϩⲣⲁⲓ
ϩⲙⲡⲉⲓⲱⲛϩ	ϩⲙ|ⲡⲉⲓ|ⲱⲛϩ
ⲉⲛⲛⲁϩⲧⲉ	ⲉ|ⲛ|ⲛⲁϩⲧⲉ
ⲁⲛϩⲉⲛⲉⲃⲓⲏⲛ	ⲁ|ⲛ|ϩⲉⲛ|ⲉⲃⲓⲏⲛ
ⲉϩⲟⲩⲉⲣⲱⲙⲉ	ⲉϩⲟⲩⲉ|ⲣⲱⲙⲉ
ⲧⲁⲡⲁⲣⲭⲏ	ⲧ|ⲁⲡⲁⲣⲭⲏ
ⲛⲛⲉⲛⲧⲁⲩⲛⲕⲟⲧⲕ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲛⲕⲟⲧⲕ
ⲡⲧⲱⲟⲩⲛ	ⲡ|ⲧⲱⲟⲩⲛ
ⲉⲧⲟⲩⲙⲟⲩ	ⲉⲧ|ⲟⲩ|ⲙⲟⲩ
ϩⲛⲁⲇⲁⲙ	ϩⲛ|ⲁⲇⲁⲙ
ⲥⲉⲛⲁⲱⲛϩ	ⲥⲉ|ⲛⲁ|ⲱⲛϩ
ϩⲙⲡⲉϥⲧⲁⲅⲙⲁ	ϩⲙ|ⲡⲉϥ|ⲧⲁⲅⲙⲁ
ϩⲛⲧⲉϥⲡⲁⲣϩⲟⲩⲥⲓⲁ	ϩⲛ|ⲧⲉϥ|ⲡⲁⲣϩⲟⲩⲥⲓⲁ
ⲉϥϣⲁⲛϯ	ⲉϥϣⲁⲛ|ϯ
ⲉϥϣⲁⲛⲟⲩⲱⲥϥ	ⲉϥϣⲁⲛ|ⲟⲩⲱⲥϥ
ϩⲓⲉⲝⲟⲩⲥⲓⲁ	ϩⲓ|ⲉⲝⲟⲩⲥⲓⲁ
ϩⲓϭⲟⲙ	ϩⲓ|ϭⲟⲙ
ⲉⲧⲣⲉϥⲣⲣⲣⲟ	ⲉ|ⲧⲣⲉ|ϥ|ⲣⲣⲣⲟ
ϣⲁⲛⲧϥⲕⲱ	ϣⲁⲛⲧ|ϥ|ⲕⲱ
ϥⲛⲁⲟⲩⲱⲥϥ	ϥ|ⲛⲁ|ⲟⲩⲱⲥϥ
ⲉⲧⲉⲡⲙⲟⲩ	ⲉⲧⲉ|ⲡ|ⲙⲟⲩ
ⲁϥⲕⲁⲛⲕⲁ	ⲁ|ϥ|ⲕⲁ|ⲛⲕⲁ
ⲉϥϣⲁⲛϫⲟⲟⲥ	ⲉϥϣⲁⲛ|ϫⲟⲟ|ⲥ
ϫⲉⲛⲕⲁ	ϫⲉ|ⲛⲕⲁ
ⲁⲩϩⲩⲡⲟⲧⲁⲥⲥⲉ	ⲁ|ⲩ|ϩⲩⲡⲟⲧⲁⲥⲥⲉ
ⲙⲡⲉⲛⲧⲁϥⲧⲣⲉⲛⲕⲁ	ⲙ|ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ⲧⲣⲉ|ⲛⲕⲁ
ⲉⲣϣⲁⲛⲛⲕⲁ	ⲉⲣϣⲁⲛ|ⲛⲕⲁ
ϥⲛⲁϩⲩⲡⲟⲧⲁⲥⲥⲉ	ϥ|ⲛⲁ|ϩⲩⲡⲟⲧⲁⲥⲥⲉ
ⲉϥϩⲙⲡⲧⲏⲣϥ	ⲉ|ϥ|ϩⲙ|ⲡ|ⲧⲏⲣ|ϥ
ⲉⲩⲛⲁⲣⲟⲩ	ⲉ|ⲩ|ⲛⲁ|ⲣ|ⲟⲩ
ⲛϭⲓⲛⲉⲧⲃⲁⲡⲧⲓⲍⲉ	ⲛϭⲓ|ⲛ|ⲉⲧ|ⲃⲁⲡⲧⲓⲍⲉ
ϩⲁⲛⲉⲧⲙⲟⲟⲩⲧ	ϩⲁ|ⲛ|ⲉⲧ|ⲙⲟⲟⲩⲧ
ⲥⲉⲃⲁⲡⲧⲓⲍⲉ	ⲥⲉ|ⲃⲁⲡⲧⲓⲍⲉ
ⲁϩⲣⲟⲛ	ⲁϩⲣⲟ|ⲛ
ⲧⲛⲕⲓⲛⲇⲩⲛⲉⲩⲉ	ⲧⲛ|ⲕⲓⲛⲇⲩⲛⲉⲩⲉ
ϯⲙⲟⲩ	ϯ|ⲙⲟⲩ
ϣⲉⲡⲉⲧⲛϣⲟⲩϣⲟⲩ	ϣⲉ|ⲡⲉⲧⲛ|ϣⲟⲩϣⲟⲩ
ⲉϣϫⲉⲕⲁⲧⲁⲣⲱⲙⲉ	ⲉϣϫⲉ|ⲕⲁⲧⲁ|ⲣⲱⲙⲉ
ⲛⲧⲁⲓⲙⲓϣⲉ	ⲛⲧ|ⲁ|ⲓ|ⲙⲓϣⲉ
ⲡⲁϩⲏⲩ	ⲡⲁ|ϩⲏⲩ
ⲙⲁⲣⲛⲟⲩⲱⲙ	ⲙⲁⲣ|ⲛ|ⲟⲩⲱⲙ
ⲛⲧⲛⲥⲱ	ⲛ|ⲧⲛ|ⲥⲱ
ⲙⲡⲣⲣⲛⲟⲃⲉ	ⲙⲡⲣ|ⲣⲛⲟⲃⲉ
ⲉⲓϯϣⲓⲡⲉ	ⲉ|ⲓ|ϯϣⲓⲡⲉ
ϫⲉⲉⲣⲉⲛⲉⲧⲙⲟⲟⲩⲧ	ϫⲉ|ⲉⲣⲉ|ⲛ|ⲉⲧ|ⲙⲟⲟⲩⲧ
ⲡⲁⲧϩⲏⲧ	ⲡ|ⲁⲧϩⲏⲧ
ϣⲁϥϫⲟϥ	ϣⲁ|ϥ|ϫⲟ|ϥ
ⲙⲉϥⲱⲛϩ	ⲙⲉ|ϥ|ⲱⲛϩ
ϣⲁⲕϫⲟϥ	ϣⲁ|ⲕ|ϫⲟ|ϥ
ⲟⲩⲃⲗⲃⲓⲗⲉ	ⲟⲩ|ⲃⲗⲃⲓⲗⲉ
ⲉⲥⲕⲏⲕ	ⲉ|ⲥ|ⲕⲏⲕ
ⲁϩⲏⲩ	ⲁϩⲏⲩ
ⲙⲡⲕⲉⲥⲉⲉⲡⲉ	ⲙ|ⲡ|ⲕⲉ|ⲥⲉⲉⲡⲉ
ⲛϭⲣⲟϭ	ⲛ|ϭⲣⲟϭ
ⲛⲟⲩⲥⲱⲙⲁ	ⲛ|ⲟⲩ|ⲥⲱⲙⲁ
ⲛⲛⲉϭⲣⲱⲱϭ	ⲛ|ⲛⲉ|ϭⲣⲱⲱϭ
ⲟⲩⲉⲧⲧⲁⲛⲣⲱⲙⲉ	ⲟⲩⲉⲧ|ⲧⲁ|ⲛ|ⲣⲱⲙⲉ
ⲟⲩⲉⲧⲧⲥⲁⲣⲝ	ⲟⲩⲉⲧ|ⲧ|ⲥⲁⲣⲝ
ⲛⲛⲧⲃⲛⲏ	ⲛ|ⲛ|ⲧⲃⲛⲏ
ⲛⲛϩⲁⲗⲏⲧ	ⲛ|ⲛ|ϩⲁⲗⲏⲧ
ⲟⲩⲉⲧⲧⲁⲛⲧⲃⲧ	ⲟⲩⲉⲧ|ⲧⲁ|ⲛ|ⲧⲃⲧ
ⲉⲧϩⲙⲡⲕⲁϩ	ⲉⲧ|ϩⲙ|ⲡ|ⲕⲁϩ
ⲟⲩⲉⲧⲡⲉⲟⲟⲩ	ⲟⲩⲉⲧ|ⲡ|ⲉⲟⲟⲩ
ⲛⲛⲉⲧϩⲛⲧⲡⲉ	ⲛ|ⲛ|ⲉⲧ|ϩⲛ|ⲧ|ⲡⲉ
ⲛⲛⲉⲧϩⲙⲡⲕⲁϩ	ⲛ|ⲛ|ⲉⲧ|ϩⲙ|ⲡ|ⲕⲁϩ
ⲟⲩⲛⲥⲓⲟⲩ	ⲟⲩⲛ|ⲥⲓⲟⲩ
ⲉⲥⲓⲟⲩ	ⲉ|ⲥⲓⲟⲩ
ⲙⲡⲕⲉⲧⲱⲟⲩⲛ	ⲙ|ⲡ|ⲕⲉ|ⲧⲱⲟⲩⲛ
ⲥⲉⲛⲁϫⲟϥ	ⲥⲉ|ⲛⲁ|ϫⲟ|ϥ
ϩⲛⲟⲩⲧⲁⲕⲟ	ϩⲛ|ⲟⲩ|ⲧⲁⲕⲟ
ϩⲛⲟⲩⲙⲛⲧⲁⲧⲧⲁⲕⲟ	ϩⲛ|ⲟⲩ|ⲙⲛⲧⲁⲧⲧⲁⲕⲟ
ϩⲛⲟⲩⲥⲱϣ	ϩⲛ|ⲟⲩ|ⲥⲱϣ
ϩⲛⲟⲩⲙⲛⲧϭⲱⲃ	ϩⲛ|ⲟⲩ|ⲙⲛⲧϭⲱⲃ
ⲉϣϫⲉⲟⲩⲛⲥⲱⲙⲁ	ⲉϣϫⲉ|ⲟⲩⲛ|ⲥⲱⲙⲁ
ⲟⲩⲛⲥⲱⲙⲁ	ⲟⲩⲛ|ⲥⲱⲙⲁ
ϫⲉⲁⲡϣⲟⲣⲡ	ϫⲉ|ⲁ|ⲡ|ϣⲟⲣⲡ
ⲉⲟⲩⲡⲛⲉⲩⲙⲁ	ⲉ|ⲟⲩ|ⲡⲛⲉⲩⲙⲁ
ⲉϥⲧⲁⲛϩⲟ	ⲉ|ϥ|ⲧⲁⲛϩⲟ
ⲡⲉⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ	ⲡⲉ|ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ
ⲡⲉⲯⲩⲭⲓⲕⲟⲛ	ⲡⲉ|ⲯⲩⲭⲓⲕⲟⲛ
ⲙⲡⲉⲃⲟⲗ	ⲙ|ⲡ|ⲉⲃⲟⲗ
ⲛⲛⲉⲃⲟⲗ	ⲛ|ⲛ|ⲉⲃⲟⲗ
ⲉⲛⲧⲁⲛⲫⲟⲣⲉⲓ	ⲉⲛⲧ|ⲁ|ⲛ|ⲫⲟⲣⲉⲓ
ⲧⲛⲛⲁⲫⲟⲣⲉⲓ	ⲧⲛ|ⲛⲁ|ⲫⲟⲣⲉⲓ
ϫⲉⲛⲛⲉϣⲥⲁⲣⲝ	ϫⲉ|ⲛⲛⲉ|ϣ|ⲥⲁⲣⲝ
ⲡⲧⲁⲕⲟ	ⲡ|ⲧⲁⲕⲟ
ⲧⲛⲛⲁⲛⲕⲟⲧⲕ	ⲧⲛ|ⲛⲁ|ⲛⲕⲟⲧⲕ
ⲧⲛⲛⲁϣⲓⲃⲉ	ⲧⲛ|ⲛⲁ|ϣⲓⲃⲉ
ϥⲛⲁⲥⲁⲗⲡⲓⲍⲉ	ϥ|ⲛⲁ|ⲥⲁⲗⲡⲓⲍⲉ
ⲉⲧⲣⲉⲡⲁⲓ	ⲉ|ⲧⲣⲉ|ⲡⲁⲓ
ⲛⲟⲩⲙⲛⲧⲁⲧⲧⲁⲕⲟ	ⲛ|ⲟⲩ|ⲙⲛⲧⲁⲧⲧⲁⲕⲟ
ⲉⲣϣⲁⲛⲡⲁⲓ	ⲉⲣϣⲁⲛ|ⲡⲁⲓ
ϫⲉⲁⲩⲉⲙⲕⲡⲙⲟⲩ	ϫⲉ|ⲁ|ⲩ|ⲉⲙⲕ|ⲡ|ⲙⲟⲩ
ⲉⲩϫⲣⲟ	ⲉ|ⲩ|ϫⲣⲟ
ⲧⲉⲕϫⲣⲟ	ⲧⲉⲕ|ϫⲣⲟ
ⲡⲉⲕⲉⲓⲉⲓⲃ	ⲡⲉⲕ|ⲉⲓⲉⲓⲃ
ⲡⲉⲓⲉⲓⲃ	ⲡ|ⲉⲓⲉⲓⲃ
ⲉⲧϯⲛⲁⲛ	ⲉⲧ|ϯ|ⲛⲁ|ⲛ
ϩⲓⲧⲛⲡⲉⲛϫⲟⲉⲓⲥ	ϩⲓⲧⲛ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲉⲧⲉⲧⲛⲧⲁϫⲣⲏⲩ	ⲉ|ⲧⲉⲧⲛ|ⲧⲁϫⲣⲏⲩ
ⲉⲛⲥⲉⲡⲱⲱⲛⲉ	ⲉ|ⲛ|ⲥⲉ|ⲡⲱⲱⲛⲉ
ϫⲉⲡⲉⲧⲛϩⲓⲥⲉ	ϫⲉ|ⲡⲉⲧⲛ|ϩⲓⲥⲉ
ⲧⲣⲉⲩⲙⲟⲟϣⲉ	ⲧⲣⲉ|ⲩ|ⲙⲟⲟϣⲉ
ⲉⲕⲛⲁⲧⲣⲉⲩⲙⲟⲟϣⲉ	ⲉ|ⲕ|ⲛⲁ|ⲧⲣⲉ|ⲩ|ⲙⲟⲟϣⲉ
ⲛⲉⲧⲉⲙⲡⲟⲩⲥⲱⲧⲙ	ⲛ|ⲉⲧⲉ|ⲙⲡ|ⲟⲩ|ⲥⲱⲧⲙ
ϩⲙⲡⲉⲩϩⲱϣ	ϩⲙ|ⲡⲉⲩ|ϩⲱϣ
ⲛⲛⲉⲕⲥⲱⲧⲙ	ⲛⲛⲉ|ⲕ|ⲥⲱⲧⲙ
ϩⲛⲧⲉⲩⲁⲛⲁⲅⲕⲏ	ϩⲛ|ⲧⲉⲩ|ⲁⲛⲁⲅⲕⲏ
ⲛⲉⲧⲉⲙⲡⲟⲩϣⲛϩⲧⲏⲩ	ⲛ|ⲉⲧⲉ|ⲙⲡ|ⲟⲩ|ϣⲛ|ϩⲧⲏ|ⲩ
ⲉⲧⲃⲉⲛⲣⲙⲉⲓⲏ	ⲉⲧⲃⲉ|ⲛ|ⲣⲙⲉⲓⲏ
ⲙⲁⲣⲟⲩ	ⲙⲁⲣ|ⲟⲩ
ⲉⲕⲛⲁϯϩⲁⲡ	ⲉ|ⲕ|ⲛⲁ|ϯϩⲁⲡ
ⲉⲛⲉⲧϫⲓ	ⲉ|ⲛ|ⲉⲧ|ϫⲓ
ⲉⲕⲛⲁⲙⲓϣⲉ	ⲉ|ⲕ|ⲛⲁ|ⲙⲓϣⲉ
ⲙⲛⲛⲉⲧⲙⲓϣⲉ	ⲙⲛ|ⲛ|ⲉⲧ|ⲙⲓϣⲉ
ⲛⲉⲛⲧⲁⲩⲧⲣⲉⲛⲉⲩϩⲃⲏⲩⲉ	ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲧⲣⲉ|ⲛⲉⲩ|ϩⲃⲏⲩⲉ
ϩⲛϩⲓⲥⲉ	ϩⲛ|ϩⲓⲥⲉ
ⲉⲕⲛⲁⲧⲱⲱⲃⲉ	ⲉ|ⲕ|ⲛⲁ|ⲧⲱⲱⲃⲉ
ⲛⲛⲉⲩⲡⲟⲛⲏⲣⲓⲁ	ⲛ|ⲛⲉⲩ|ⲡⲟⲛⲏⲣⲓⲁ
ⲉⲡⲉⲩⲧⲟⲡ	ⲉ|ⲡⲉⲩ|ⲧⲟⲡ
ⲛ..	ⲛ|..
ⲙⲡⲉⲩϩⲁⲡ	ⲙ|ⲡⲉⲩ|ϩⲁⲡ
ⲛⲛⲉⲕⲕⲱ	ⲛⲛⲉ|ⲕ|ⲕⲱ
ⲉⲩⲛⲁⲉⲓ	ⲉ|ⲩ|ⲛⲁ|ⲉⲓ
ⲉⲩⲧϭⲁⲓⲏⲩ	ⲉ|ⲩ|ⲧϭⲁⲓⲏⲩ
ϩⲙⲡⲧⲣⲉⲕϫⲓϩⲁⲡ	ϩⲙ|ⲡ|ⲧⲣⲉ|ⲕ|ϫⲓϩⲁⲡ
ϫⲉⲁⲩⲟⲩⲱ	ϫⲉ|ⲁ|ⲩ|ⲟⲩⲱ
ϩϫⲙⲡⲙⲕⲁϩ	ϩϫⲙ|ⲡ|ⲙⲕⲁϩ
...ϩⲏⲧ	...ϩⲏⲧ
ϫⲉⲣⲟ	ϫⲉⲣⲟ
ⲁⲩⲗⲱ...	ⲁ|ⲩ|ⲗⲱ|...
ϩⲙ...ⲥⲱⲧⲙ	ϩⲙ|...ⲥⲱⲧⲙ
ⲉϩⲙ.....	ⲉ|ϩⲙ|.....
ⲛⲇⲓⲕⲁⲓⲟ	ⲛ|ⲇⲓⲕⲁⲓⲟ
ⲗⲉⲩⲉ	ⲗⲉⲩⲉ
ⲛ......	ⲛ|......
ⲛⲇⲓⲕ	ⲛⲇⲓⲕ
ⲁⲩⲣⲡ	ⲁⲩⲣⲡ
ⲡⲁ........	ⲡⲁ|........
ⲧ.........	ⲧ|.........
ⲛⲛⲉⲃⲓⲏⲛ	ⲛ|ⲛ|ⲉⲃⲓⲏⲛ
ⲁⲩϫⲱⲱⲣⲉ	ⲁ|ⲩ|ϫⲱⲱⲣⲉ
ⲡⲉⲩⲙⲧⲟⲛ	ⲡⲉⲩ|ⲙⲧⲟⲛ
ϫⲉⲉⲛⲉⲩⲉⲓⲛⲉ	ϫⲉ|ⲉ|ⲛⲉ|ⲩ|ⲉⲓⲛⲉ
ϩⲛⲛⲉⲩ...	ϩⲛ|ⲛⲉⲩ...
