ϯⲡⲣⲟⲥⲉⲩⲭⲏ	ϯ|ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲛϭⲱⲣⲡ	ⲛ|ϭⲱⲣⲡ
ⲉⲑⲃⲉϫⲉϯⲇⲩⲛⲁⲙⲓⲥ	ⲉⲑⲃⲉ|ϫⲉ|ϯ|ⲇⲩⲛⲁⲙⲓⲥ
ⲉⲧⲥⲁϫⲓ	ⲉⲧ|ⲥⲁϫⲓ
ⲉⲟⲩⲱⲣⲡ	ⲉ|ⲟⲩⲱⲣⲡ
ⲁⲡⲟⲩⲣⲟ	ⲁ|ⲡ|ⲟⲩⲣⲟ
ⲉϯⲇⲩⲛⲁⲙⲓⲥ	ⲉ|ϯ|ⲇⲩⲛⲁⲙⲓⲥ
ⲁⲟⲩϩⲟϯ	ⲁ|ⲟⲩ|ϩⲟϯ
ϧⲉⲛⲟⲩⲧⲁⲭⲏ	ϧⲉⲛ|ⲟⲩ|ⲧⲁⲭⲏ
ⲉⲑⲛⲉⲙⲁϥ	ⲉⲑ|ⲛⲉⲙⲁ|ϥ
ⲉⲡⲟⲩⲣⲟ	ⲉ|ⲡ|ⲟⲩⲣⲟ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ⲁϥⲉⲣ	ⲁ|ϥ|ⲉⲣ
ⲙⲡⲉϥϣϫⲉⲙϫⲱⲙ	ⲙⲡⲉ|ϥ|ϣ|ϫⲉⲙϫⲱⲙ
ϧⲉⲛⲡⲓⲉϩⲟⲟⲩ	ϧⲉⲛ|ⲡⲓ|ⲉϩⲟⲟⲩ
ⲛϫⲉⲛⲓⲭⲁⲣⲧⲟⲗⲁⲣⲓⲟⲥ	ⲛϫⲉ|ⲛⲓ|ⲭⲁⲣⲧⲟⲗⲁⲣⲓⲟⲥ
ⲁⲩϩⲱⲗ	ⲁ|ⲩ|ϩⲱⲗ
ϫⲉⲛⲧⲟⲩϫⲉⲙⲡⲉϥϣⲓⲛⲓ	ϫⲉ|ⲛⲧ|ⲟⲩ|ϫⲉⲙ|ⲡⲉϥ|ϣⲓⲛⲓ
ⲉϥϣⲱⲛⲓ	ⲉ|ϥ|ϣⲱⲛⲓ
ϯϩⲟϯ	ϯ|ϩⲟϯ
ⲉⲧⲁⲩϣⲉⲛϥ	ⲉⲧ|ⲁ|ⲩ|ϣⲉⲛ|ϥ
ⲉⲑⲃⲉⲧⲁⲓⲧⲓⲁ	ⲉⲑⲃⲉ|ⲧ|ⲁⲓⲧⲓⲁ
ⲙⲡⲓϣⲱⲛⲓ	ⲙ|ⲡⲓ|ϣⲱⲛⲓ
ⲁϥϭⲱⲣⲡ	ⲁ|ϥ|ϭⲱⲣⲡ
ⲉⲧⲁⲛⲉϥⲃⲁⲗ	ⲉⲧ|ⲁ|ⲛⲉϥ|ⲃⲁⲗ
ϫⲉⲙⲡⲓⲛⲁⲩ	ϫⲉ|ⲙ|ⲡⲓ|ⲛⲁⲩ
ⲉⲧⲉⲕⲟϩⲓ	ⲉⲧⲉ|ⲕ|ⲟϩⲓ
ⲉⲣⲁⲧⲕ	ⲉⲣⲁⲧ|ⲕ
ϩⲓϫⲉⲛⲡⲓⲙⲁ	ϩⲓϫⲉⲛ|ⲡⲓ|ⲙⲁ
ⲁⲕⲥⲁϫⲓ	ⲁ|ⲕ|ⲥⲁϫⲓ
ⲛⲉⲙⲛⲓⲙ	ⲛⲉⲙ|ⲛⲓⲙ
ⲉⲧⲁⲓⲛⲁⲩ	ⲉⲧ|ⲁ|ⲓ|ⲛⲁⲩ
ⲉⲥⲕⲏⲧⲕ	ⲉⲥⲕⲏⲧ|ⲕ
ⲛⲭⲣⲱⲙ	ⲛ|ⲭⲣⲱⲙ
ϫⲉⲉⲓⲥⲁϫⲓ	ϫⲉ|ⲉ|ⲓ|ⲥⲁϫⲓ
ⲛⲉⲙⲡⲁⲛⲟⲩϯ	ⲛⲉⲙ|ⲡⲁ|ⲛⲟⲩϯ
ⲛⲁⲣⲉⲡⲓⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲛⲁⲣⲉ|ⲡⲓ|ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲉϯϫⲟⲙ	ⲉ|ϯ|ϫⲟⲙ
ⲉⲣⲁⲧⲥ	ⲉⲣⲁⲧ|ⲥ
ⲉϣⲁϥⲁⲗⲏⲓ	ⲉ|ϣⲁ|ϥ|ⲁⲗⲏⲓ
ⲙⲡⲁⲓⲕⲉⲥⲟⲡ	ⲙ|ⲡⲁⲓ|ⲕⲉ|ⲥⲟⲡ
ϫⲉⲥⲟⲡ	ϫⲉ|ⲥⲟⲡ
ⲉⲧⲉⲭⲛⲁϩⲱⲗ	ⲉⲧⲉ|ⲭ|ⲛⲁ|ϩⲱⲗ
ⲭⲛⲁⲩ	ⲭ|ⲛⲁⲩ
ⲉⲡⲉⲕⲛⲟⲩϯ	ⲉ|ⲡⲉⲕ|ⲛⲟⲩϯ
ϫⲉⲡⲉⲧⲉⲛⲛⲁϩϯ	ϫⲉ|ⲡⲉⲧⲉⲛ|ⲛⲁϩϯ
ⲛⲧⲱⲧⲉⲛ	ⲛⲧⲱ|ⲧⲉⲛ
ⲛⲓⲭⲣⲏⲥⲧⲓⲁⲛⲟⲥ	ⲛⲓ|ⲭⲣⲏⲥⲧⲓⲁⲛⲟⲥ
ⲉⲧϧⲁϫⲱⲕ	ⲉⲧ|ϧⲁϫⲱ|ⲕ
ϫⲉⲁⲓⲉⲙⲓ	ϫⲉ|ⲁ|ⲓ|ⲉⲙⲓ
ⲉⲕϭⲟⲥⲓ	ⲉ|ⲕ|ϭⲟⲥⲓ
ⲛⲟⲩⲣⲱⲙⲓ	ⲛ|ⲟⲩ|ⲣⲱⲙⲓ
ⲙⲡⲣⲟⲫⲏⲧⲏⲥ	ⲙ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ϧⲁⲧⲉⲛⲡⲟⲩⲣⲟ	ϧⲁⲧⲉⲛ|ⲡ|ⲟⲩⲣⲟ
ⲉϥⲙⲟⲩϯ	ⲉ|ϥ|ⲙⲟⲩϯ
ϫⲉⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ	ϫⲉ|ⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ
ⲛⲁϥⲱⲗⲓ	ⲛⲁ|ϥ|ⲱⲗⲓ
ⲉⲙⲱⲓⲧ	ⲉ|ⲙⲱⲓⲧ
ⲛⲁⲣⲉⲫⲏ	ⲛⲁⲣⲉ|ⲫⲏ
ⲛⲉⲙⲕⲁϩ	ⲛ|ⲉⲙⲕⲁϩ
ϩⲏⲧ	ϩⲏⲧ
ⲉⲑⲃⲉϫⲉⲛⲁϥⲭⲱ	ⲉⲑⲃⲉ|ϫⲉ|ⲛⲁ|ϥ|ⲭⲱ
ⲉⲥⲉⲙⲛⲓ	ⲉ|ⲥⲉⲙⲛⲓ
ϧⲉⲛⲡⲉϥⲉⲡⲓⲥⲕⲟⲡⲉⲓⲟⲛ	ϧⲉⲛ|ⲡⲉϥ|ⲉⲡⲓⲥⲕⲟⲡⲉⲓⲟⲛ
ϫⲉⲛⲁϥⲙⲉ	ϫⲉ|ⲛⲁ|ϥ|ⲙⲉ
ⲛⲟⲩⲉϩⲟⲟⲩ	ⲛ|ⲟⲩ|ⲉϩⲟⲟⲩ
ⲉⲣⲉⲡⲟⲩⲣⲟ	ⲉⲣⲉ|ⲡ|ⲟⲩⲣⲟ
ϧⲉⲛⲁⲗⲃⲁⲛ	ϧⲉⲛ|ⲁⲗⲃⲁⲛ
ϯⲃⲁⲕⲓ	ϯ|ⲃⲁⲕⲓ
ⲉⲧⲁϥⲕⲟⲧⲥ	ⲉⲧ|ⲁ|ϥ|ⲕⲟⲧ|ⲥ
ⲛⲧⲉⲧⲉϥⲙⲉⲧⲟⲩⲣⲟ	ⲛⲧⲉ|ⲧⲉϥ|ⲙⲉⲧⲟⲩⲣⲟ
ⲙⲡⲉϥⲭⲁⲣⲱⲙⲓ	ⲙⲡⲉ|ϥ|ⲭⲁ|ⲣⲱⲙⲓ
ⲉⲑⲙⲏⲛ	ⲉⲑ|ⲙⲏⲛ
ⲛⲛⲉϥⲕⲟⲓⲧⲱⲛ	ⲛ|ⲛⲉϥ|ⲕⲟⲓⲧⲱⲛ
ϣⲉ	ϣⲉ
ⲉⲡⲉϥⲙⲱⲓⲧ	ⲉ|ⲡⲉϥ|ⲙⲱⲓⲧ
ⲁⲧⲥϩⲓⲙⲓ	ⲁ|ⲧ|ⲥϩⲓⲙⲓ
ⲉϩⲁⲛⲛⲓϣϯ	ⲉ|ϩⲁⲛ|ⲛⲓϣϯ
ⲛⲑⲱⲟⲩⲧⲥ	ⲛ|ⲑⲱⲟⲩⲧⲥ
ⲉⲩⲭⲏ	ⲉ|ⲩ|ⲭⲏ
ϧⲉⲛⲡⲓⲕⲟⲓⲧⲱⲛ	ϧⲉⲛ|ⲡⲓ|ⲕⲟⲓⲧⲱⲛ
ⲛⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲛ|ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲁⲥⲛⲁⲩ	ⲁ|ⲥ|ⲛⲁⲩ
ⲛϩⲁⲛⲗⲁⲙⲡⲁⲥ	ⲛ|ϩⲁⲛ|ⲗⲁⲙⲡⲁⲥ
ⲉⲩⲙⲟϩ	ⲉ|ⲩ|ⲙⲟϩ
ⲉⲣⲉϩⲁⲛϩⲉⲃⲥⲱ	ⲉⲣⲉ|ϩⲁⲛ|ϩⲉⲃⲥⲱ
ϩⲓⲱⲧⲟⲩ	ϩⲓⲱⲧ|ⲟⲩ
ⲉⲩϩⲱⲥ	ⲉ|ⲩ|ϩⲱⲥ
ⲕⲁⲧⲁⲡⲓⲉⲑⲟⲥ	ⲕⲁⲧⲁ|ⲡⲓ|ⲉⲑⲟⲥ
ⲛⲛⲓⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ	ⲛ|ⲛⲓ|ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ
ⲁⲥⲧⲁⲙⲉⲡⲟⲩⲣⲟ	ⲁ|ⲥ|ⲧⲁⲙⲉ|ⲡ|ⲟⲩⲣⲟ
ϫⲉϣⲁⲧⲉⲛⲕⲉⲕⲟⲩϫⲓ	ϫⲉ|ϣⲁⲧⲉ|ⲛ|ⲕⲉ|ⲕⲟⲩϫⲓ
ⲉⲣⲉⲡⲁⲡⲛⲉⲩⲙⲁ	ⲉⲣⲉ|ⲡⲁ|ⲡⲛⲉⲩⲙⲁ
ϩⲓⲧⲉⲙϯϩⲟϯ	ϩⲓⲧⲉⲙ|ϯ|ϩⲟϯ
ⲉⲧⲁⲓⲥⲟⲑⲙⲟⲩ	ⲉⲧ|ⲁ|ⲓ|ⲥⲟⲑⲙ|ⲟⲩ
ⲛⲧⲱⲙⲧ	ⲛ|ⲧⲱⲙⲧ
ⲁⲓⲟⲗϥ	ⲁ|ⲓ|ⲟⲗ|ϥ
ⲉⲡⲓⲕⲟⲓⲧⲱⲛ	ⲉ|ⲡⲓ|ⲕⲟⲓⲧⲱⲛ
ϫⲉⲛⲧⲉϥⲧⲱⲃϩ	ϫⲉ|ⲛⲧⲉ|ϥ|ⲧⲱⲃϩ
ⲛⲉⲙⲛⲉⲛϣⲏⲣⲓ	ⲛⲉⲙ|ⲛⲉⲛ|ϣⲏⲣⲓ
ⲁⲥⲉⲣⲁⲛⲁϣ	ⲁ|ⲥ|ⲉⲣⲁⲛⲁϣ
ϫⲉⲁⲓⲛⲁⲩ	ϫⲉ|ⲁ|ⲓ|ⲛⲁⲩ
ⲙⲙⲏϣ	ⲙ|ⲙⲏϣ
ⲉϥⲑⲟⲩⲏⲧ	ⲉ|ϥ|ⲑⲟⲩⲏⲧ
ⲉⲡⲁⲓϧⲉⲗⲗⲟ	ⲉ|ⲡⲁⲓ|ϧⲉⲗⲗⲟ
ⲉⲩⲥⲁϫⲓ	ⲉ|ⲩ|ⲥⲁϫⲓ
ϧⲉⲛⲧⲟⲩϫⲓⲛϣⲗⲏⲗ	ϧⲉⲛ|ⲧⲟⲩ|ϫⲓⲛϣⲗⲏⲗ
ⲉⲡⲟⲩⲛⲟⲩϯ	ⲉ|ⲡⲟⲩ|ⲛⲟⲩϯ
ⲉⲡⲉϥⲣⲁⲥϯ	ⲉ|ⲡⲉϥ|ⲣⲁⲥϯ
ⲉϥϯⲱⲟⲩ	ⲉ|ϥ|ϯⲱⲟⲩ
ⲕⲱⲧ	ⲕⲱⲧ
ⲛϩⲁⲛⲉⲕⲕⲗⲏⲥⲓⲁ	ⲛ|ϩⲁⲛ|ⲉⲕⲕⲗⲏⲥⲓⲁ
ⲛⲉⲙϩⲁⲛⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ	ⲛⲉⲙ|ϩⲁⲛ|ⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ
ⲙⲡⲓⲕⲱϯ	ⲙ|ⲡⲓ|ⲕⲱϯ
ⲛⲧⲉϥⲡⲟⲗⲓⲥ	ⲛ|ⲧⲉϥ|ⲡⲟⲗⲓⲥ
ⲉϥⲉⲣⲁⲅⲁⲡⲁⲛ	ⲉ|ϥ|ⲉⲣⲁⲅⲁⲡⲁⲛ
ⲉϥⲧⲁⲓⲏⲟⲩⲧ	ⲉ|ϥ|ⲧⲁⲓⲏⲟⲩⲧ
ϧⲉⲛⲧⲭⲱⲣⲁ	ϧⲉⲛ|ⲧ|ⲭⲱⲣⲁ
ⲛⲉⲟⲩⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ	ⲛⲉ|ⲟⲩ|ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ
ϧⲉⲛⲡⲉϥϣⲉⲙϣⲓ	ϧⲉⲛ|ⲡⲉϥ|ϣⲉⲙϣⲓ
ⲛⲉⲟⲩⲛⲧⲁϥ	ⲛⲉ|ⲟⲩⲛⲧⲁ|ϥ
ⲡⲓⲭⲉⲧ	ⲡⲓ|ⲭⲉⲧ
ⲁϥⲡⲱⲧ	ⲁ|ϥ|ⲡⲱⲧ
ⲉⲭⲏⲙⲓ	ⲉ|ⲭⲏⲙⲓ
ⲉϫⲱⲗ	ⲉ|ϫⲱⲗ
ϧⲉⲛⲧⲉϥⲭⲱⲣⲁ	ϧⲉⲛ|ⲧⲉϥ|ⲭⲱⲣⲁ
ⲉⲑⲃⲉⲧϩⲟϯ	ⲉⲑⲃⲉ|ⲧ|ϩⲟϯ
ϫⲉⲟⲩⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ	ϫⲉ|ⲟⲩ|ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ
ⲉϥϫⲏⲕ	ⲉ|ϥ|ϫⲏⲕ
ⲉⲧⲁⲡⲉϥⲓⲱⲧ	ⲉⲧ|ⲁ|ⲡⲉϥ|ⲓⲱⲧ
ⲛⲧⲉϥⲧⲁϩⲟϥ	ⲛⲧⲉ|ϥ|ⲧⲁϩⲟ|ϥ
ⲁϥϫⲉⲙϥ	ⲁ|ϥ|ϫⲉⲙ|ϥ
ⲉⲧⲁϥϫⲱⲗ	ⲉⲧ|ⲁ|ϥ|ϫⲱⲗ
ⲙⲡⲉϥⲛⲁϩϯ	ⲙ|ⲡⲉϥ|ⲛⲁϩϯ
ⲁϥⲥⲱⲧⲡ	ⲁ|ϥ|ⲥⲱⲧⲡ
ⲛϯⲧⲟⲓ	ⲛ|ϯ|ⲧⲟⲓ
ⲛⲧⲉⲓⲟⲩⲇⲁⲥ	ⲛⲧⲉ|ⲓⲟⲩⲇⲁⲥ
ⲉϩⲟⲧⲉⲡⲭⲣⲓⲥⲧⲟⲥ	ⲉϩⲟⲧⲉ|ⲡ|ⲭⲣⲓⲥⲧⲟⲥ
ⲁⲡⲓⲣⲱⲙⲓ	ⲁ|ⲡⲓ|ⲣⲱⲙⲓ
ⲓⲛⲓ	ⲓⲛⲓ
ⲙⲡⲓⲕⲟⲩϫⲓ	ⲙ|ⲡⲓ|ⲕⲟⲩϫⲓ
ⲉⲧⲉⲟⲩⲡⲛⲉⲩⲙⲁ	ⲉⲧⲉ|ⲟⲩ|ⲡⲛⲉⲩⲙⲁ
ⲛⲧⲉⲛⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲛⲧⲉ|ⲛⲓ|ⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ϣⲗⲏⲗ	ϣⲗⲏⲗ
ⲉⲑⲃⲉϫⲉⲁϥⲥⲱⲧⲉⲙ	ⲉⲑⲃⲉ|ϫⲉ|ⲁ|ϥ|ⲥⲱⲧⲉⲙ
ϫⲉϩⲁⲛϩⲁⲅⲓⲟⲥ	ϫⲉ|ϩⲁⲛ|ϩⲁⲅⲓⲟⲥ
ⲁϥϣⲟⲡϥ	ⲁ|ϥ|ϣⲟⲡ|ϥ
ⲛϫⲉⲁⲃⲇⲉⲗⲁⲍⲓⲍ	ⲛϫⲉ|ⲁⲃⲇⲉⲗⲁⲍⲓⲍ
ⲉⲑⲃⲉϫⲉⲛⲉⲟⲩⲥⲩⲅⲅⲉⲛⲏⲥ	ⲉⲑⲃⲉ|ϫⲉ|ⲛⲉ|ⲟⲩ|ⲥⲩⲅⲅⲉⲛⲏⲥ
ⲉⲧⲁϥϣⲉⲛϥ	ⲉⲧ|ⲁ|ϥ|ϣⲉⲛ|ϥ
ⲉⲑⲃⲉⲡⲓϫⲓⲛⲓ	ⲉⲑⲃⲉ|ⲡⲓ|ϫⲓⲛⲓ
ⲉⲑⲃⲉϩⲱⲃ	ⲉⲑⲃⲉ|ϩⲱⲃ
ⲉⲑⲃⲏⲧⲟⲩ	ⲉⲑⲃⲏⲧ|ⲟⲩ
ⲛⲉⲣⲟⲩⲟⲧ	ⲛ|ⲉⲣⲟⲩⲟⲧ
ⲛⲉⲙⲟⲩⲛⲓϣϯ	ⲛⲉⲙ|ⲟⲩ|ⲛⲓϣϯ
ⲛⲧⲓⲙⲏ	ⲛ|ⲧⲓⲙⲏ
ⲛϫⲉⲡⲓⲣⲱⲙⲓ	ⲛϫⲉ|ⲡⲓ|ⲣⲱⲙⲓ
ϫⲉⲙⲡⲉⲡⲉϥϣⲏⲣⲓ	ϫⲉ|ⲙⲡⲉ|ⲡⲉϥ|ϣⲏⲣⲓ
ⲛⲧⲉϥⲧⲁⲥⲑⲟϥ	ⲛⲧⲉ|ϥ|ⲧⲁⲥⲑⲟ|ϥ
ϧⲉⲛⲟⲩⲙⲕⲁϩ	ϧⲉⲛ|ⲟⲩ|ⲙⲕⲁϩ
ϫⲉⲡⲉⲕⲥⲛⲟϥ	ϫⲉ|ⲡⲉⲕ|ⲥⲛⲟϥ
ⲉϫⲱⲕ	ⲉϫⲱ|ⲕ
ⲓⲥϫⲉⲛϯⲛⲟⲩ	ⲓⲥϫⲉⲛ|ϯⲛⲟⲩ
ⲕⲟⲓ	ⲕ|ⲟⲓ
ⲛϣⲉⲙⲙⲟ	ⲛ|ϣⲉⲙⲙⲟ
ϧⲉⲛⲡⲁⲓⲁⲓⲱⲛ	ϧⲉⲛ|ⲡⲁⲓ|ⲁⲓⲱⲛ
ⲉⲧⲁϥϣⲓⲛⲓ	ⲉⲧ|ⲁ|ϥ|ϣⲓⲛⲓ
ⲛⲥⲁⲟⲩⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲛⲥⲁ|ⲟⲩ|ⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲉⲑⲣⲉϥϣⲗⲏⲗ	ⲉ|ⲑⲣⲉ|ϥ|ϣⲗⲏⲗ
ⲁϥⲣⲁⲃⲏⲟⲩⲧ	ⲁ|ϥ|ⲣⲁⲃⲏⲟⲩⲧ
ⲛϫⲉⲟⲩⲯⲉⲩⲇⲟⲉⲡⲓⲥⲏⲟⲡⲟⲥ	ⲛϫⲉ|ⲟⲩ|ⲯⲉⲩⲇⲟⲉⲡⲓⲥⲏⲟⲡⲟⲥ
ⲉⲧⲉⲟⲩⲉⲃⲟⲗ	ⲉⲧⲉ|ⲟⲩ|ⲉⲃⲟⲗ
ϧⲉⲛⲛⲓϩⲁⲓⲣⲉⲥⲓⲥ	ϧⲉⲛ|ⲛⲓ|ϩⲁⲓⲣⲉⲥⲓⲥ
ⲛⲧⲉⲛⲓⲁⲧⲁⲫⲉ	ⲛⲧⲉ|ⲛⲓ|ⲁⲧⲁⲫⲉ
ⲉⲧⲁⲩⲧⲁⲙⲟϥ	ⲉⲧ|ⲁ|ⲩ|ⲧⲁⲙⲟ|ϥ
ϫⲉⲟⲩⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ϫⲉ|ⲟⲩ|ⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲙⲡⲉϥⲉⲙⲓ	ⲙⲡⲉ|ϥ|ⲉⲙⲓ
ϫⲉⲟⲩϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ	ϫⲉ|ⲟⲩ|ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ
ⲁϥⲉⲛⲡⲉϥϣⲏⲣⲓ	ⲁ|ϥ|ⲉⲛ|ⲡⲉϥ|ϣⲏⲣⲓ
ϫⲉⲛⲧⲉϥϣⲗⲏⲗ	ϫⲉ|ⲛⲧⲉ|ϥ|ϣⲗⲏⲗ
ⲉⲧⲁϥⲉⲣⲫⲁⲓ	ⲉⲧ|ⲁ|ϥ|ⲉⲣ|ⲫⲁⲓ
ⲛϫⲉⲡⲓⲁⲥⲉⲃⲏⲥ	ⲛϫⲉ|ⲡⲓ|ⲁⲥⲉⲃⲏⲥ
ⲙⲡⲉϥϫⲉⲙϫⲟⲙ	ⲙⲡⲉ|ϥ|ϫⲉⲙϫⲟⲙ
ⲛⲧⲁⲗϭⲟϥ	ⲛ|ⲧⲁⲗϭⲟ|ϥ
ⲛⲁⲣⲉⲡⲓⲡⲛⲉⲩⲙⲁ	ⲛⲁⲣⲉ|ⲡⲓ|ⲡⲛⲉⲩⲙⲁ
ϯϧⲓⲥⲓ	ϯϧⲓⲥⲓ
ⲉϥⲭⲱ	ⲉ|ϥ|ⲭⲱ
ⲉⲉⲙⲧⲟⲛ	ⲉ|ⲉⲙⲧⲟⲛ
ⲛⲁϥⲟⲓ	ⲛⲁ|ϥ|ⲟⲓ
ⲧⲁⲙⲟϥ	ⲧⲁⲙⲟ|ϥ
ϫⲉⲫⲁⲛⲓⲟⲩⲃⲉⲣϣⲉⲛⲟⲩϥⲓ	ϫⲉ|ⲫⲁ|ⲛⲓⲟⲩⲃⲉⲣϣⲉⲛⲟⲩϥⲓ
ⲟⲩⲱⲣⲡ	ⲟⲩⲱⲣⲡ
ⲉⲓⲛⲓ	ⲉ|ⲓⲛⲓ
ⲉⲑⲃⲉⲡⲓⲁⲗⲟⲩ	ⲉⲑⲃⲉ|ⲡⲓ|ⲁⲗⲟⲩ
ⲛⲉⲙⲡⲓⲣⲏϯ	ⲛⲉⲙ|ⲡⲓ|ⲣⲏϯ
ⲉⲧⲉⲡⲉϥⲓⲱⲧ	ⲉⲧⲉ|ⲡⲉϥ|ⲓⲱⲧ
ⲁϥϣⲗⲏⲗ	ⲁ|ϥ|ϣⲗⲏⲗ
ⲁϥⲑⲁϩⲥⲡⲓⲁⲗⲟⲩ	ⲁ|ϥ|ⲑⲁϩⲥ|ⲡⲓ|ⲁⲗⲟⲩ
ϫⲉϧⲉⲛⲫⲣⲁⲛ	ϫⲉ|ϧⲉⲛ|ⲫ|ⲣⲁⲛ
ⲉⲕⲉⲉⲣϩⲙⲟⲧ	ⲉⲕⲉ|ⲉⲣϩⲙⲟⲧ
ⲙⲡⲉⲕⲃⲱⲕ	ⲙ|ⲡⲉⲕ|ⲃⲱⲕ
ⲙⲡⲥⲙⲟⲧ	ⲙ|ⲡ|ⲥⲙⲟⲧ
ⲛⲟⲩϣⲁϩ	ⲛ|ⲟⲩ|ϣⲁϩ
ⲁϥϩⲓⲧϥ	ⲁ|ϥ|ϩⲓⲧ|ϥ
ⲛϩⲁⲛⲥⲑⲟⲓⲛⲟⲩϥⲓ	ⲛ|ϩⲁⲛ|ⲥⲑⲟⲓⲛⲟⲩϥⲓ
ⲉⲩⲥⲱⲧⲡ	ⲉ|ⲩ|ⲥⲱⲧⲡ
ⲉⲧⲁϥⲉⲛⲟⲩ	ⲉⲧ|ⲁ|ϥ|ⲉⲛ|ⲟⲩ
ⲡⲓⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ	ⲡⲓ|ⲡⲁⲧⲣⲓⲁⲣⲭⲏⲥ
ⲁϥϫⲱ	ⲁ|ϥ|ϫⲱ
ⲛϩⲁⲛⲛⲓϣϯ	ⲛ|ϩⲁⲛ|ⲛⲓϣϯ
ⲉⲡⲧⲁϫⲣⲟ	ⲉ|ⲡ|ⲧⲁϫⲣⲟ
ⲛⲉⲙⲡⲟⲩϫⲁⲓ	ⲛⲉⲙ|ⲡ|ⲟⲩϫⲁⲓ
ϯϩⲟ	ϯϩⲟ
ⲉⲑⲣⲉϥⲥϧⲏⲧⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	ⲉ|ⲑⲣⲉ|ϥ|ⲥϧⲏⲧ|ⲡⲓ|ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
ⲕⲁⲧⲁⲓⲱⲁⲛⲛⲏⲥ	ⲕⲁⲧⲁ|ⲓⲱⲁⲛⲛⲏⲥ
ⲉϫⲉⲛϩⲁⲛⲱⲓⲕ	ⲉϫⲉⲛ|ϩⲁⲛ|ⲱⲓⲕ
ⲛⲉⲩⲗⲟⲅⲓⲁ	ⲛ|ⲉⲩⲗⲟⲅⲓⲁ
ⲉϥⲉⲣⲁⲓⲧⲉⲓⲛ	ⲉ|ϥ|ⲉⲣⲁⲓⲧⲉⲓⲛ
ⲛⲟⲩⲥⲙⲟⲩ	ⲛ|ⲟⲩ|ⲥⲙⲟⲩ
ⲛⲛⲁϣϯ	ⲛ|ⲛⲁϣϯ
ⲛⲛⲉϥⲉϩⲟⲟⲩ	ⲛ|ⲛⲉϥ|ⲉϩⲟⲟⲩ
ⲛϫⲉⲡⲉⲛⲥⲱⲧⲏⲣ	ⲛϫⲉ|ⲡⲉⲛ|ⲥⲱⲧⲏⲣ
ⲛⲁⲅⲁⲑⲟⲥ	ⲛ|ⲁⲅⲁⲑⲟⲥ
ⲉⲑⲙⲉⲓ	ⲉⲑ|ⲙⲉⲓ
ⲉϥⲉⲙⲉⲛⲣⲓⲧϥ	ⲉϥⲉ|ⲙⲉⲛⲣⲓⲧ|ϥ
ⲛϫⲉⲡⲁⲓⲱⲧ	ⲛϫⲉ|ⲡⲁ|ⲓⲱⲧ
ⲉⲁϩⲁⲛⲟⲩⲟⲛ	ⲉ|ⲁ|ϩⲁⲛ|ⲟⲩⲟⲛ
ϧⲉⲛⲛⲓⲥⲁⲣⲁⲕⲏⲛⲟⲥ	ϧⲉⲛ|ⲛⲓ|ⲥⲁⲣⲁⲕⲏⲛⲟⲥ
ⲉⲑⲙⲟⲥϯ	ⲉⲑ|ⲙⲟⲥϯ
ϣⲁⲡⲟⲩⲣⲟ	ϣⲁ|ⲡ|ⲟⲩⲣⲟ
ⲁⲩϯϣⲑⲟⲩⲓⲧ	ⲁ|ⲩ|ϯϣⲑⲟⲩⲓⲧ
ϧⲁⲡⲓⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ϧⲁ|ⲡⲓ|ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲕϯⲧⲁⲓⲟ	ⲕ|ϯⲧⲁⲓⲟ
